古代写实战争风格分镜脚本及角色设定
一、角色设定+AI生图提示词（古代写实风格）
主角（主将/主公）
外形：中年，面容冷峻，身形挺拔，眼神锐利沉稳，前期玄色轻甲配长剑，后期深色王袍
AI提示词：古代写实风格，8K超高清电影级画质，中年男性，面容冷峻眼神锐利，身形挺拔，前期玄色轻甲手持长剑，后期深色王袍，站姿沉稳，战场或城头写实背景
陉谷敌将
外形：壮年，身材魁梧，面容刚毅，卸甲后着单薄皮甲，满身血污，悍勇狠厉
AI提示词：古代写实风格，8K超高清电影级画质，壮年男性，身材魁梧面容刚毅，卸甲状态穿单薄皮甲，身上带血污，手持长槊，陉谷战场写实背景
西楚霸王
外形：壮年，高大威猛，长发散乱，甲胄斑驳染血，眼神桀骜，气势磅礴
AI提示词：古代写实风格，8K超高清电影级画质，壮年男性，高大威猛，长发散乱，斑驳染血重甲，手持长槊，谷底战场写实背景，气势桀骜
副将/近侍/亲兵
外形：中青年，身形干练，忠诚恭敬，着制式轻甲或侍卫服
AI提示词：古代写实风格，8K超高清电影级画质，中青年男性，身形干练，着制式轻甲或侍卫服，神情恭敬或急切，战场或帐内写实背景
斥候
外形：青年，身形矫健，衣衫破损，浑身浴血，神情急迫
AI提示词：古代写实风格，8K超高清电影级画质，青年男性，身形矫健，衣衫破损浑身浴血，跪地急报，陉谷写实背景
普通士卒
外形：中青年，着皮甲/重甲，满身尘土血污，或疲惫或悍勇
AI提示词：古代写实风格，8K超高清电影级画质，古代战场士卒群像，着皮甲或重甲，满身尘土血污，或坐或立，陉谷或谷底战场写实背景
二、分镜脚本（古代写实战争风格，连续镜头）
|（注：文档部分内容可能由 AI 生成)
镜号 | 时长 | 运镜方式 | 景别 | AI生图提示词 | AI图生视频提示词 | 对白 | 旁白 | 音乐 | 音效
1 | 5秒 | 固定俯拍 | 大远景 | 古代写实风格，8K超高清电影级画质，俯拍视角，清晨薄雾笼罩陉谷，两侧石壁陡立，谷底狭窄青石板路，氛围寂静苍凉 | 晨雾缓慢流动，镜头微俯静止，陉谷整体环境静谧，无人物动作 | 无 | 无 | 低沉肃杀古风弦乐 | 寂静，轻微风声
2 | 4秒 | 微推 | 特写 | 古代写实风格，8K超高清电影级画质，特写视角，玄铁甲片砸在青石板上，溅起微尘，光线昏暗 | 甲片缓慢落下砸击石板，镜头微推，尘土轻微扬起 | 无 | 无 | 持续低沉弦乐 | 噗、噗、噗，甲片砸地闷响
3 | 6秒 | 缓慢下移 | 近景 | 古代写实风格，8K超高清电影级画质，近景视角，主角伏在西坡岩棱后，指节紧扣岩石，目光紧盯谷底，晨雾环绕 | 主角手指微微收紧扣紧岩石，身体微伏，目光紧盯下方，镜头缓慢下移 | 无 | 无 | 紧张压抑弦乐 | 岩石摩擦声，主角轻微呼吸声
4 | 7秒 | 摇镜 | 中景 | 古代写实风格，8K超高清电影级画质，中景视角，陉谷谷底敌将卸下护心镜抛给马夫，玄铁镜落入甲胄堆 | 敌将抬手卸甲，抛镜动作连贯，护心镜翻转落入甲胄堆，镜头缓慢摇过 | 无 | 无 | 紧张弦乐 | 护心镜落地噗声，甲胄碰撞声
5 | 3秒 | 固定 | 特写 | 古代写实风格，8K超高清电影级画质，特写视角，主角眼神骤然锐利，瞳孔微缩 | 主角眼神从平静变锐利，瞳孔微缩，镜头静止 | 无 | 机会。天赐之机。 | 弦乐陡然收紧 | 无
6 | 8秒 | 缓慢拉远 | 全景 | 古代写实风格，8K超高清电影级画质，全景视角，谷底敌军卸甲，骑士着皮甲，战马饮水，岗哨散漫，晨雾弥漫 | 敌军士卒分散休息，战马低头饮水，岗哨拄槊站立，镜头缓慢拉远展现全貌 | 无 | 无 | 压抑弦乐 | 战马饮水声，士卒低语声
7 | 5秒 | 固定 | 中景 | 古代写实风格，8K超高清电影级画质，中景视角，主角立于坡后，神色冷冽，身后三千步骑蓄势待发 | 主角抬手下令，身姿挺拔，身后士卒严阵以待，镜头静止 | 弩手标定驮马队与阵眼，格杀勿论，绝其披甲之念。长枪阵谷口列偃月，半步不退，封死退路。轻骑随我中路冲斫，速战速决！ | 无 | 冷冽肃杀鼓乐 | 无
8 | 4秒 | 快速下推 | 近景 | 古代写实风格，8K超高清电影级画质，近景视角，令旗劈下，主角面容冷峻 | 令旗快速劈下，主角嘴唇微动下令，镜头快速下推 | 杀！ | 无 | 鼓乐骤起 | 令旗破空声
9 | 6秒 | 快速俯拍 | 全景 | 古代写实风格，8K超高清电影级画质，全景俯拍视角，箭雨从坡顶倾泻而下，射向谷底驮马队与敌军 | 箭雨密集飞射，驮马中箭倒地，甲胄散落，镜头快速俯拍移动 | 无 | 无 | 激昂战乐 | 箭雨咻咻声，中箭闷响，驮马嘶鸣
10 | 5秒 | 仰拍 | 中景 | 古代写实风格，8K超高清电影级画质，中景仰拍视角，敌将在箭雨中抄起长槊，厉声喝令 | 敌将踢翻食案，嘶吼下令，身姿悍勇，镜头仰拍凸显气势 | 结阵！ | 无 | 战乐急促 | 敌将暴喝声，食案倒地声
